"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1485181653236391936","Sun Jan 23 09:24:34 +0000 2022","1","manfaat lari bagi kesehatan mental generasi Z. #userstory https://t.co/3prPPpjQ7s","1485181653236391936","","","in","","1","0","1","https://x.com/kumparan/status/1485181653236391936","759692754985242625","kumparan"
"1481617959106007048","Thu Jan 13 13:23:43 +0000 2022","0","Ada gk ya penelitian tentang pengaruh sosial media terhadap kesehatan mental generasi milenial dan generasi z ","1481617959106007048","","","in","kota tepian","0","0","0","https://x.com/jdystwn/status/1481617959106007048","1163399821199175680","jdystwn"
"1467151136771624963","Sat Dec 04 15:17:44 +0000 2021","0","Bayangin kalo Gen Z ga aware sama kondisi kesehatan mental mereka bakalan jadi ortu kayak apa nanti di tahun 2045. Kalo gak aware2 yg ada jadi penerus generasi tempramental..","1467151136771624963","","","in","","0","1","0","https://x.com/tepdisini/status/1467151136771624963","1349295386964287492","tepdisini"
"1462020872806436870","Sun Nov 21 04:02:04 +0000 2021","1","@kapokambiss @resa_wardanas Tapi ini rasanya semua peserta dibully gtu dehhh kak :(( mana diakhir jurinya blg generasi z emg pda manja bgt pdhl program paper kelompok lain juga bagus kaya melek sama kesehatan mental","1462270060370616325","","kapokambiss","in","Cibinong, Bogor","0","1","0","https://x.com/Pengenjadisapi/status/1462270060370616325","3302118662","Pengenjadisapi"
"1461886114315128841","Sat Nov 20 02:36:24 +0000 2021","0","Katanya aku masuk generasi tukang ngeluh meskipun aku ngerasa agak terlalu tua untuk masuk ke Gen Z atau apalah itu namanya. Tapi mungkin mengeluh dalam presentase yang wajar diperlukan untuk kesehatan mental kita masing-masing. Mungkin jadi ada sense of reliefnya.","1461886114315128841","","","in","","0","0","0","https://x.com/Fadeaway95/status/1461886114315128841","1461321680798707716","Fadeaway95"
"1457950875125682178","Tue Nov 09 05:59:10 +0000 2021","0","Awalnya mau kesehatan mental tapi istilah keren generasi z kek asik pas dibuat jadi ceramah","1457950875125682178","","","in","mdni","0","0","0","https://x.com/ineonimislocis/status/1457950875125682178","1302803045122625539","ineonimislocis"
"1455399384716349451","Tue Nov 02 05:00:27 +0000 2021","4","Generasi Z lebih sadar akan isu-isu sosial dan kesehatan mental. Para bos milenial pun memberikan testimoni mengenai apa yang mereka 'takutkan'. https://t.co/x0BOJo53E1","1455399384716349451","","","in","","1","0","1","https://x.com/detikcom/status/1455399384716349451","69183155","detikcom"
"1455382672755265550","Tue Nov 02 03:54:03 +0000 2021","0","Generasi Z lebih sadar akan isu-isu sosial dan kesehatan mental. Para bos milenial pun memberikan testimoni mengenai apa yang mereka 'takutkan'. https://t.co/gN75nj4cjn","1455382672755265550","","","in","ÜT: -6.2746861,106.8304126","0","0","0","https://x.com/wolipop/status/1455382672755265550","95579729","wolipop"
"1455337799310262274","Tue Nov 02 00:55:44 +0000 2021","1","Generasi Z lebih sadar akan isu-isu sosial dan kesehatan mental. Para bos milenial pun memberikan testimoni mengenai apa yang mereka 'takutkan'. https://t.co/tr0wjQF8xC","1455337799310262274","","","in","ÜT: -6.2746861,106.8304126","0","0","0","https://x.com/wolipop/status/1455337799310262274","95579729","wolipop"
"1453907197205925889","Fri Oct 29 02:11:02 +0000 2021","0","Webinar dengan tema Pengaruh Media Sosial Terhadap Optimalisasi Kesehatan Mental dan Psikososial Generasi Z Sabtu 20 November 2021 08.00 WIB - Selesai Zoom Meeting dan Live Streaming Youtube CP : +6281233531437 https://t.co/qgoZrNQXBK","1453907197205925889","https://pbs.twimg.com/media/FC1Q4sqWYAAwiHZ.jpg","","in","Surabaya","0","0","0","https://x.com/eventsurabaya/status/1453907197205925889","143634855","eventsurabaya"
