model,Confusion Matrix,Classification Report,Cross-Validation Scores,Mean CV Score,Std Dev CV Score
SVM,[487  85  19  16 561  14  15  35 541],"{'Negatif': {'precision': 0.9401544401544402, 'recall': 0.8240270727580372, 'f1-score': 0.8782687105500451, 'support': 591.0}, 'Netral': {'precision': 0.8237885462555066, 'recall': 0.949238578680203, 'f1-score': 0.8820754716981132, 'support': 591.0}, 'Positif': {'precision': 0.9425087108013938, 'recall': 0.9153976311336718, 'f1-score': 0.9287553648068669, 'support': 591.0}, 'accuracy': 0.8962210941906373, 'macro avg': {'precision': 0.9021505657371135, 'recall': 0.8962210941906372, 'f1-score': 0.8963665156850084, 'support': 1773.0}, 'weighted avg': {'precision': 0.9021505657371134, 'recall': 0.8962210941906373, 'f1-score': 0.8963665156850085, 'support': 1773.0}}","[0.7952622673434856, 0.8398195149464185, 0.8341793570219966, 0.9317540891144952, 0.9458544839255499]",0.8693739425,0.05889858969
Naïve Bayes,[226 181 184   3 588   0  52  84 455],"{'Negatif': {'precision': 0.8042704626334519, 'recall': 0.3824027072758037, 'f1-score': 0.518348623853211, 'support': 591.0}, 'Netral': {'precision': 0.6893317702227433, 'recall': 0.9949238578680203, 'f1-score': 0.814404432132964, 'support': 591.0}, 'Positif': {'precision': 0.7120500782472613, 'recall': 0.7698815566835872, 'f1-score': 0.7398373983739838, 'support': 591.0}, 'accuracy': 0.7157360406091371, 'macro avg': {'precision': 0.7352174370344855, 'recall': 0.7157360406091371, 'f1-score': 0.6908634847867196, 'support': 1773.0}, 'weighted avg': {'precision': 0.7352174370344854, 'recall': 0.7157360406091371, 'f1-score': 0.6908634847867196, 'support': 1773.0}}","[0.6864072194021432, 0.6920473773265652, 0.6954314720812182, 0.7461928934010152, 0.7552171460800903]",0.7150592217,0.0293860347
KNN,[ 96 370 125   0 582   9   8 119 464],"{'Negatif': {'precision': 0.9230769230769231, 'recall': 0.16243654822335024, 'f1-score': 0.2762589928057554, 'support': 591.0}, 'Netral': {'precision': 0.5434173669467787, 'recall': 0.9847715736040609, 'f1-score': 0.7003610108303249, 'support': 591.0}, 'Positif': {'precision': 0.7759197324414716, 'recall': 0.7851099830795262, 'f1-score': 0.7804878048780488, 'support': 591.0}, 'accuracy': 0.6441060349689791, 'macro avg': {'precision': 0.7474713408217245, 'recall': 0.6441060349689791, 'f1-score': 0.585702602838043, 'support': 1773.0}, 'weighted avg': {'precision': 0.7474713408217244, 'recall': 0.6441060349689791, 'f1-score': 0.585702602838043, 'support': 1773.0}}","[0.5673998871968415, 0.5865764241398759, 0.5831923293852228, 0.727580372250423, 0.7687535250987028]",0.6467005076,0.08411334507
